|REPORTING YEAR|COMPANY|GAS|SECTOR|GHG_CONTRIBUTION
343|2011|WHITING OIL AND GAS|CH4|Midstream|2205.0
344|2011|WHITING OIL AND GAS|CO2|Midstream|48317.0
345|2011|WHITING OIL AND GAS|N2O|Midstream|26.0
346|2012|WHITING OIL AND GAS|CH4|Midstream|1844.0
347|2012|WHITING OIL AND GAS|CO2|Midstream|45990.0
348|2012|WHITING OIL AND GAS|N2O|Midstream|25.0
349|2013|WHITING OIL AND GAS|CH4|Midstream|1117.0
350|2013|WHITING OIL AND GAS|CO2|Midstream|39645.0
351|2013|WHITING OIL AND GAS|N2O|Midstream|22.0
352|2014|WHITING OIL AND GAS|CH4|Midstream|2304.0
353|2014|WHITING OIL AND GAS|CO2|Midstream|54874.0
354|2014|WHITING OIL AND GAS|N2O|Midstream|30.0
355|2015|WHITING OIL AND GAS|CH4|Midstream|3613.0
356|2015|WHITING OIL AND GAS|CO2|Midstream|101964.0
357|2015|WHITING OIL AND GAS|N2O|Midstream|56.0
358|2016|WHITING OIL AND GAS|CH4|Midstream|4539.0
359|2016|WHITING OIL AND GAS|CO2|Midstream|115013.0
360|2016|WHITING OIL AND GAS|N2O|Midstream|64.0
361|2014|WHITING OIL AND GAS|CH4|Midstream|332.0
362|2014|WHITING OIL AND GAS|CO2|Midstream|27500.0
363|2014|WHITING OIL AND GAS|N2O|Midstream|15.0
