,REPORTING YEAR,PARENT_COMPANY,GAS,SECTOR,GHG_CONTRIBUTION,2018_UPSTREAM_RANK,2018_MIDSTREAM_RANK,2018_OVERALL_RANK,STANDARD_COMPANY_NAME
375,2012,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,N2O,Midstream,0.12400000000000001,312.0,279.0,,conoco phillips golden pass holdings
376,2013,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,21.824,312.0,279.0,,conoco phillips golden pass holdings
377,2014,CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC,CH4,Midstream,6.0760000000000005,312.0,279.0,,conoco phillips golden pass holdings
507,2011,Conoco Philips Company,CH4,Midstream,2347.52,312.0,279.0,,conoco philips
508,2011,Conoco Philips Company,CO2,Midstream,19585.3,312.0,279.0,,conoco philips
509,2011,Conoco Philips Company,N2O,Midstream,13.16,312.0,279.0,,conoco philips
510,2012,Conoco Philips Company,CH4,Midstream,2152.36,312.0,279.0,,conoco philips
511,2012,Conoco Philips Company,CO2,Midstream,20086.36,312.0,279.0,,conoco philips
512,2012,Conoco Philips Company,N2O,Midstream,11.620000000000001,312.0,279.0,,conoco philips
513,2013,Conoco Philips Company,CH4,Midstream,1775.6200000000001,312.0,279.0,,conoco philips
514,2013,Conoco Philips Company,CO2,Midstream,18224.78,312.0,279.0,,conoco philips
515,2013,Conoco Philips Company,N2O,Midstream,7.7,312.0,279.0,,conoco philips
516,2014,Conoco Philips Company,CH4,Midstream,676.0600000000001,312.0,279.0,,conoco philips
517,2014,Conoco Philips Company,CO2,Midstream,19243.420000000002,312.0,279.0,,conoco philips
518,2014,Conoco Philips Company,N2O,Midstream,10.22,312.0,279.0,,conoco philips
519,2011,ConocoPhillips Company,CH4,Midstream,1463.0,312.0,279.0,,conocophillips
520,2011,ConocoPhillips Company,CO2,Midstream,126363.0,312.0,279.0,,conocophillips
521,2011,ConocoPhillips Company,N2O,Midstream,71.0,312.0,279.0,,conocophillips
522,2012,ConocoPhillips Company,CH4,Midstream,1427.0,312.0,279.0,,conocophillips
523,2012,ConocoPhillips Company,CO2,Midstream,111035.0,312.0,279.0,,conocophillips
524,2012,ConocoPhillips Company,N2O,Midstream,62.5,312.0,279.0,,conocophillips
525,2013,ConocoPhillips Company,CH4,Midstream,739.0,312.0,279.0,,conocophillips
526,2013,ConocoPhillips Company,CO2,Midstream,111867.0,312.0,279.0,,conocophillips
527,2013,ConocoPhillips Company,N2O,Midstream,63.0,312.0,279.0,,conocophillips
