COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
CROWN ENERGY PARTNERS,29547.0,27593.0,,,,,,
DABB ENERGY,2240.0,2587.0,2449.0,2177.0,1426.0,898.0,677.0,408.0
DART OIL & GAS,,,,,,119328.0,,
DAVIS GAS PROCESSING,,,,,,184735.0,139402.0,165133.0
DCP MIDSTREAM,1354784.0,1640147.0,1992208.0,2249943.0,2400336.0,2273631.0,7298924.0,9748064.0
DE3 OPERATING,,,,,,,,71308.0
DENBURY RESOURCES,1479987.0,197116.0,304298.0,408189.0,337168.0,231900.0,545327.0,714589.0
DESTIN PIPELINE COMPANY,,35717.0,33528.0,27230.0,,,,
DEVON ENERGY,3482375.0,3719335.0,3586185.0,2948005.0,4516971.0,2643497.0,2828147.0,3787465.0
DGP TAURUS FIELD SERVICES,,,,,,,31042.0,30487.0
"DGP TAURUS FIELD, SERVICES",,,,,,29439.0,,
DIAMONDBACK ENERGY,,,355523.0,1134747.0,161757.0,174413.0,390288.0,928586.0
DISCOVERY NATURAL RESOURCES,,,,120504.0,99105.0,98971.0,124132.0,139820.0
DIVERSIFIED GAS & OIL,,,,,,,,1302604.0
DIVERSIFIED OIL & GAS,,,,,,,656330.0,
DIVIDE CREEK GATHERING SYSTEM,,,,,,33541.0,28650.0,32336.0
DJ RESOURCES,,,33000.0,1829.0,1893.0,549.0,,125715.0
DOMINION ENERGY,421532.0,565465.0,573065.0,667001.0,769986.0,1060895.0,1919233.0,2590889.0
DOW CHEMICAL,82716.0,82124.0,84084.0,78350.0,97646.0,83362.0,76089.0,77070.0
DTE ENERGY,199849.0,75538.0,98300.0,174223.0,155158.0,243509.0,268116.0,694503.0
DUGAN PRODUCTION,189557.0,106216.0,159986.0,106560.0,199996.0,111979.0,86189.0,133155.0
DUNCAN OIL PROPERTIES,53328.0,68658.0,54590.0,35029.0,68184.0,74026.0,63124.0,73315.0
DURANGO MIDSTREAM,,,,,,,100754.0,130174.0
DYNAMIC OFFSHORE RESOURCES,287525.0,200386.0,,,,,,
E&B NATURAL RESOURCES,,,56472.0,,,,,
EAGLE PETROLEUM,,,,,28786.0,26920.0,29745.0,31351.0
EAGLE ROCK ENERGY PARTNERS,271353.0,247298.0,322842.0,339623.0,46516.0,44845.0,42622.0,43158.0
EAGLECLAW MIDSTREAM SERVICES,,,,,,181321.0,368496.0,736054.0
EAGLECLAW MISTREAM SERVICES,,,,,,38995.0,,
EAGLERIDGE OPERATING,,,,170638.0,27745.0,9005.0,86028.0,113423.0
EARTHSTONE OPERATING,,,,,21191.0,18412.0,16855.0,22763.0
EAST TENNESSEE NATURAL GAS,30461.0,23078.0,25403.0,13884.0,,,,
ECLIPSE RESOURCES,,,,,,,,88100.0
ECOELECTRICA,0.0,47.0,26.0,90.0,817.0,11297.0,14507.0,1301227.0
EDF TRADING RESOURCES,,,47887.0,41889.0,,,,
EDGEMARC ENERGY HOLDINGS,,,,,,,,82837.0
EFS MIDSTREAM,,324084.0,458773.0,484484.0,,,,
