RANK|STANDARD_COMPANY_NAME|SECTOR|GHG_CONTRIBUTION
282|DOMINION ENERGY|Upstream|760402.0
283|COLUMBIA PIPELINE GROUP|Midstream|760212.775
284|SWEPI|Upstream|756415.0
285|CRESTONE PEAK RESOURCES|Upstream|755512.0
286|BRUIN E&P OPERATING|Upstream|751378.0
287|CLAYTON WILLIAMS ENERGY|Upstream|749278.0
288|RKI|Upstream|746921.0
289|CORONADO MIDSTREAM|Midstream|735693.0
290|WEST BAY EXPLORATION|Upstream|735511.0
291|KINDER MORGAN|Upstream|735240.0
292|WESTERN REFINING|Midstream|723729.0
293|FDL OPERATING|Upstream|718089.0
294|PVR MIDSTREAM|Midstream|711202.0
295|JAMES LAKE MIDSTREAM|Midstream|703140.0
296|ROSETTA RESOURCES OPERATING|Midstream|695158.0
297|CENTENNIAL RESOURCE PRODUCTION|Upstream|690209.0
298|ARUBA PETROLEUM|Upstream|688294.0
299|DOW CHEMICAL|Midstream|661442.5
300|DIVERSIFIED OIL & GAS|Upstream|656330.0
301|CAPROCK PERMIAN PROCESSING|Midstream|647859.0
302|EQUINOR US HOLDINGS|Upstream|642805.981
303|HILAND PARTNERS|Midstream|641355.0
304|CHIEF OIL & GAS|Upstream|637450.0
305|ASCENT RESOURCES|Upstream|636633.0
306|CONTURA ENERGY|Upstream|634902.0
307|GOODRICH PETROLEUM|Upstream|633942.0
308|CASTLETON COMMODITIES INTERNATIONAL|Midstream|633019.0
309|FREEPORT LNG DEVELOPMENT|Midstream|628693.0
310|OAK RIDGE NATURAL RESOURCES|Upstream|627253.0
311|FAIRWAY RESOURCES|Upstream|626978.0
312|BLACKBRUSH O & G|Upstream|623606.0
313|BCE-MACH|Upstream|622761.0
314|MUSKEGON DEVELOPMENT|Upstream|619410.0
315|NATIONAL FUEL GAS|Upstream|618001.0
316|PEMBINA PIPELINE|Midstream|614173.0
317|VINE OIL & GAS|Upstream|609095.0
318|SOUTHERN UNION GAS SERVICES|Midstream|603121.0
319|VENOCO|Upstream|594353.0
320|WHITE OAK ENERGY|Upstream|592556.0
321|NEXTERA ENERGY RESOURCES|Upstream|587269.0
322|DISCOVERY NATURAL RESOURCES|Upstream|582532.0
323|STATOIL|Midstream|580406.0
324|LIBERTY RESOURCES|Upstream|579100.0
325|WHITING OIL AND GAS|Midstream|573778.7324144802
326|ARENA ENERGY|Upstream|571935.0
327|PETROBRAS AMERICA|Upstream|569966.8500000001
328|MAVERICK NATURAL RESOURCES|Midstream|565881.0
329|COX OIL|Upstream|557675.5952054
330|MIDMAR GAS|Midstream|557606.0
331|SAVANT ALASKA|Upstream|555734.25
332|MILAGRO EXPLORATION|Upstream|553005.0
333|CARRIZO OIL & GAS|Midstream|550618.0
334|AETHON ENERGY|Midstream|545656.0
335|W & T OFFSHORE|Midstream|545353.9267000001
336|PLAINS EXPLORATION & PRODUCTION|Upstream|545244.2102
337|AGL RESOURCES|Midstream|542568.0
338|TELLUS ENERGY GROUP|Upstream|537125.0
339|PERMIAN RESOURCES|Upstream|535328.0
340|TENAWA HAVEN PROCESSING|Midstream|534868.0
341|KRAKEN OIL & GAS|Upstream|533921.0
342|SURGE OPERATING|Upstream|533864.0
343|HUNT CONSOLIDATED|Midstream|526745.9281
344|P&S PROJECT I|Midstream|525934.0
345|COPREX|Midstream|525934.0
346|LOE|Midstream|525546.0
347|WEST TEXAS GAS|Midstream|522479.7800000001
348|WILDHORSE RESOURCES|Upstream|514735.0
349|PETRO HARVESTER OIL & GAS|Upstream|513742.0
350|IROQUOIS GAS TRANSMISSION SYSTEM|Midstream|512221.0
351|PSI MIDSTREAM PARTNERS|Midstream|495680.0
352|DUNCAN OIL PROPERTIES|Upstream|490254.0
353|CMS ENERGY|Midstream|489945.0
354|DAVIS GAS PROCESSING|Midstream|489270.0
355|HOOVER ENERGY PARTNERS|Midstream|488568.0
356|TENAWA RESOURCE MANAGEMENT|Midstream|488448.0
357|DYNAMIC OFFSHORE RESOURCES|Upstream|487911.0
358|SUPERIOR PIPELINE|Midstream|485396.0
359|PLAINS EXPLORATION & PRODUCTION|Midstream|477266.37486212
360|WGR OPERATING|Midstream|470484.0
361|FORMOSA PLASTICS CORP USA|Midstream|465351.0
362|WILDHORSE RESOUCES|Upstream|461398.0
363|ENERGY CORP OF AMERICA|Upstream|460117.0
364|LEWIS ENERGY GROUP|Midstream|450240.0
365|SANGUINE GAS EXPLORATION|Upstream|449250.0
366|TALOS ENERGY|Upstream|447036.0
367|MDU RESOURCES GROUP|Midstream|446597.0
368|RICE ENERGY|Upstream|445683.0
369|BURNETT OIL CO|Upstream|444996.0
370|VITRUVIAN EXPLORATION|Upstream|442683.0
371|BRAVO NATURAL GAS|Upstream|442653.0
372|SRC ENERGY|Upstream|436222.0
373|BAYTEX ENERGY USA|Upstream|428139.0
374|PAXTON RESOURCES|Upstream|427081.0
375|SAMUEL GARY JR. ASSOCIATES|Upstream|423640.0
376|MAGNOLIA OIL & GAS OPERATING|Upstream|421110.0
377|TIMBER CREEK OPERATING|Upstream|419746.0
378|BLACKBEARD OPERATING|Upstream|416236.0
379|OCCIDENTIAL PETROLEUM|Upstream|414639.0
380|CNX RESOURCES|Midstream|414591.0
381|EPL OIL & GAS|Upstream|414540.0
382|ATMOS ENERGY|Midstream|412084.0
383|CAISSE DE DEPOT ET PLACEMENT DU QUEBEC|Midstream|409575.5
384|EAGLERIDGE OPERATING|Upstream|406839.0
385|TRUNKLINE GAS|Midstream|397926.0
386|ENERVEST OPERATING, LLC|Upstream|394282.0
387|ROWDY PIPELINE|Midstream|383345.0
388|HAWKWOOD ENERGY MANAGEMENT LLC 220|Upstream|383072.0
389|CROSS TIMBERS ENERGY|Upstream|379416.0
390|QUICKSILVER RESOURCES|Upstream|379251.0
391|HELIS OIL AND GAS COMPANY|Upstream|378362.0
392|KINETICA PARTNERS|Midstream|377566.0
393|INTEGRYS ENERGY GROUP|Midstream|374091.0
394|VANTAGE ENERGY|Upstream|373782.0
395|SUMMIT PETROLEUM|Upstream|373431.0
396|PENNSYLVANIA LAND RESOURCES HOLDING COMPANY|Upstream|373190.0
397|CONTURA ENERGY|Midstream|373028.0
398|CONSOL ENERGY|Midstream|371582.5
399|CALLON PETROLEUM|Upstream|371216.0
400|ENOGEX HOLDINGS|Midstream|369404.0
401|JMA ENERGY COMPANY|Upstream|361389.0
402|WHITE ROCK OIL & GAS|Upstream|360099.0
403|NATURAL GAS PARTNERS|Upstream|359704.0
404|AUGUSTUS ENERGY RESOURCES|Upstream|359429.0
405|SAGA PETROLEUM|Upstream|357775.0
406|ENVEN ENERGY VENTURES|Upstream|355832.0
407|PACIFIC ENERGY ALASKA OPERATING|Upstream|350098.07699999993
408|SBM OFFSHORE|Upstream|349144.0
409|TGGT HOLDINGS|Midstream|348881.0
410|ACADIAN GAS PIPELINE SYSTEM|Midstream|347202.0
411|THE SINCLAIR COS|Upstream|342543.0
412|SCOUT ENERGY MANAGEMENT|Midstream|334265.0
413|SILVERBACK MIDSTREAM|Midstream|331217.00000000006
414|NINE POINT ENERGY HOLDINGS|Upstream|327900.0
415|ELM RIDGE EXPLORATION COMPANY|Upstream|327491.0
416|TRISTREAM ENERGY|Midstream|317633.0
417|SHERIDAN PRODUCTION COMPANY|Upstream|317205.0
418|BENEDUM GAS PARTNERS|Midstream|314292.0
419|ROCKCLIFF ENERGY II|Upstream|313584.0
420|EQUAL ENERGY|Upstream|312740.0
421|SEQUITUR EAST TEXAS|Upstream|311042.0
422|BC OPERATING|Upstream|304880.0
423|WEC ENERGY GROUP|Midstream|303953.0
424|J-W OPERATING|Upstream|302101.0
425|LE NORMAN OPERATING|Upstream|301253.0
426|LEGACY RESERVES OPERATING|Midstream|298606.77999999997
427|MARLIN MIDSTREAM|Midstream|297115.0
428|URBAN OIL & GAS GROUP|Upstream|296485.0
429|MEDUSA SPAR|Upstream|295957.5
430|WARREN RESOURCES|Midstream|295065.0
431|NAFTEX OPERATING|Upstream|291305.0
432|REM|Upstream|291239.0
433|LAREDO PETROLEUM|Midstream|284587.0
434|WILDCAT MIDSTREAM CADDO|Midstream|283956.0
435|HIGHPOINT RESOURCES|Upstream|281596.0
436|PARALLEL ENERGY|Upstream|278342.0
437|ENDURING RESOURCES|Upstream|277174.0
438|ZENERGY|Upstream|276584.0
439|MOUNTAINEER KEYSTONE|Upstream|276232.0
440|SANDRIDGE ENERGY|Midstream|275776.0
441|LARAMIE ENERGY|Midstream|274816.0
442|FOUR WINDS MIDSTREAM|Midstream|273878.0
443|ANKOR ENERGY|Upstream|273535.0
444|ASRCEX|Upstream|267575.75
445|ROAN RESOURCES|Upstream|267107.0
446|MIDDLE FORK ENERGY PARTNERS|Upstream|265732.0
447|GENERAL ELECTRIC|Midstream|265721.5
448|ERG RESOURCES|Upstream|262910.0
449|LUFF EXPLORATION|Upstream|259951.0
450|ATP OIL & GAS|Upstream|259681.0
451|ABRAXAS PETROLEUM|Upstream|258507.0
452|TRC CYPRESS GROUP|Upstream|250125.0
453|ARROWHEAD PIPELINE|Midstream|249596.0
454|MONARCH NATURAL GAS|Midstream|247841.0
455|BAYSWATER EXPLORATION & PRODUCTION|Upstream|244552.0
456|QUANTUM RESOURCES MANAGEMENT|Upstream|234685.0
457|WARD PETROLEUM|Upstream|233857.0
458|CANTIUM|Upstream|231721.0
459|DURANGO MIDSTREAM|Midstream|230928.0
460|COOK INLET ENERGY|Upstream|230005.0
461|FIML NATURAL RESOURCES|Upstream|229052.0
462|COGENT MIDSTREAM WESTEX|Midstream|228194.0
463|GRADE 6 OIL|Upstream|227737.0
464|TALCO MIDSTREAM ASSETS|Midstream|227717.0
465|MUREX PETROLEUM|Upstream|227501.0
466|SUNDANCE ENERGY|Upstream|227420.0
467|WHITE STAR PETROLEUM|Upstream|226390.0
468|MUNICIPAL LIGHT & POWER|Upstream|224239.86899999998
469|ARD OPERATING|Midstream|222909.0
470|RSP PERMIAN|Upstream|222509.0
471|PXP OFFSHORE|Upstream|220631.26799999998
472|PER MANAGER|Upstream|220016.0
473|MONCRIEF PARTNERS|Midstream|217099.79681589
474|ZPZ DELAWARE I|Midstream|213654.82000000004
475|MAVERICK NATURAL RESOURCES|Upstream|211565.0
476|PENNSYLVANIA GENERAL ENERGY COMPANY|Midstream|211138.0
477|SK PLYMOUTH|Upstream|211046.0
478|GASCO ENERGY|Upstream|210182.0
479|SHD OIL & GAS|Upstream|209040.0
480|BADLANDS ENERGY|Upstream|207192.0
481|J CLEO THOMPSON & JAMES CLEO THOMPSON JR|Upstream|206697.0
482|NHIP II BISON HOLDINGS|Midstream|201866.0
483|BOC 220 GULF COAST BASIN ONSHORE|Upstream|201519.0
484|NOBLE MIDSTREAM SERVICES|Midstream|201050.0
485|REPSOL OIL & GAS USA|Upstream|200181.0
486|URBAN OIL & GAS GROUP|Midstream|198137.0
487|ENERGY RESOURCE TECHNOLOGY|Upstream|197905.0
