REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK|STANDARD_COMPANY_NAME
2014|EXXONMOBIL CORP|CH4|Upstream|5240.304|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CO2|Midstream|220312.59885836|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CO2|Upstream|93392.21233|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|N2O|Midstream|118.14661428|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|N2O|Upstream|90.44211|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CO2|Upstream|1768327.6445|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CH4|Midstream|38335.61897937|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CH4|Midstream|3954.311|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|N2O|Midstream|9992.344000000001|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CO2|Midstream|8364913.7884|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CO2|Midstream|1910858.768|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CH4|Upstream|3590641.3089|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CH4|Midstream|25281.256|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|N2O|Upstream|85.6684|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|N2O|Midstream|983.892|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CO2|Upstream|139505.7328|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CO2|Midstream|1933984.78|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CH4|Upstream|16018.1418|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CH4|Midstream|22882.496|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|N2O|Midstream|476.0644000000001|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CO2|Upstream|13650.24|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CO2|Midstream|865694.0692|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CH4|Upstream|7241.568|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CH4|Midstream|4196.968|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|N2O|Upstream|24.1|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|N2O|Midstream|439.18440000000004|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CH4|Midstream|5420.7826000000005|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|CO2|Midstream|834475.7094|2.0|5.0|2.0|EXXONMOBIL
2011|EXXONMOBIL CORP|N2O|Midstream|453.75140000000005|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CH4|Midstream|4989.620000000001|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CH4|Upstream|4667.206|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CO2|Upstream|1876794.9179|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|N2O|Midstream|971.88|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|N2O|Upstream|1539.4601|2.0|5.0|2.0|EXXONMOBIL
2013|EXXONMOBIL CORP|CH4|Midstream|30819.88|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CH4|Upstream|2812696.9446|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CH4|Midstream|876353.282|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|N2O|Upstream|4981.9693|2.0|5.0|2.0|EXXONMOBIL
