,REPORTING YEAR,PARENT_COMPANY,GAS,SECTOR,GHG_CONTRIBUTION,2018_UPSTREAM_RANK,2018_MIDSTREAM_RANK,2018_OVERALL_RANK,STANDARD_COMPANY_NAME
380,2015,CONOCOPHILLIPS,CO2,Midstream,2072456.175,5,16,10,conocophillips
381,2015,CONOCOPHILLIPS,CO2,Upstream,18373.3278,5,16,10,conocophillips
383,2015,CONOCOPHILLIPS,N2O,Upstream,14.78,5,16,10,conocophillips
384,2016,CONOCOPHILLIPS,CH4,Midstream,30161.393,5,16,10,conocophillips
385,2016,CONOCOPHILLIPS,CH4,Upstream,617.5696,5,16,10,conocophillips
386,2016,CONOCOPHILLIPS,CO2,Midstream,2119262.928,5,16,10,conocophillips
387,2016,CONOCOPHILLIPS,CO2,Upstream,7707.84,5,16,10,conocophillips
388,2016,CONOCOPHILLIPS,N2O,Midstream,1080.641,5,16,10,conocophillips
382,2015,CONOCOPHILLIPS,N2O,Midstream,1057.992,5,16,10,conocophillips
390,2017,CONOCOPHILLIPS,CH4,Midstream,23352.539,5,16,10,conocophillips
389,2016,CONOCOPHILLIPS,N2O,Upstream,7.8368,5,16,10,conocophillips
399,2018,CONOCOPHILLIPS,CO2,Upstream,3986.9472,5,16,10,conocophillips
397,2018,CONOCOPHILLIPS,CH4,Upstream,35.3648,5,16,10,conocophillips
396,2018,CONOCOPHILLIPS,CH4,Midstream,27768.434,5,16,10,conocophillips
398,2018,CONOCOPHILLIPS,CO2,Midstream,2012225.176,5,16,10,conocophillips
394,2017,CONOCOPHILLIPS,N2O,Midstream,1004.259,5,16,10,conocophillips
393,2017,CONOCOPHILLIPS,CO2,Upstream,4780.0512,5,16,10,conocophillips
392,2017,CONOCOPHILLIPS,CO2,Midstream,1995316.549,5,16,10,conocophillips
391,2017,CONOCOPHILLIPS,CH4,Upstream,97.96,5,16,10,conocophillips
395,2017,CONOCOPHILLIPS,N2O,Upstream,3.4224,5,16,10,conocophillips
346,2011,CONOCO PHILLIPS,CH4,Midstream,27738.154,312,279,,conoco phillips
