PARENT_COMPANY|STANDARD_COMPANY_NAME
COVEY PARK ENERGY|COVEY PARK ENERGY
COX OIL|COX OIL
CRESCENT POINT ENERGY US CORP|CRESCENT POINT ENERGY US
CRESTONE PEAK RESOURCES LP|CRESTONE PEAK RESOURCES
CRESTWOOD MIDSTREAM PARTNERS LP|CRESTWOOD MIDSTREAM PARTNERS
CRIMSON RESOURCE MANAGEMENT CORP|CRIMSON RESOURCE MANAGEMENT
CROSS TIMBERS ENERGY LLC|CROSS TIMBERS ENERGY
CROSSTEX ENERGY SERVICES LP|CROSSTEX ENERGY SERVICES
CROSSTEX PERMIAN LLC|CROSSTEX ENERGY SERVICES
Cabot Oil & Gas Corp|CABOT
Caelus Energy Alaska, LLC|CAELUS ENERGY
Caerus Oil and Gas LLC|CAERUS OIL AND GAS
California Resources Corporation|CALIFORNIA RESOURCES
Caprock Permian Processing LLC|CAPROCK PERMIAN PROCESSING
Carrera Gas Gathering, LLC|CARRERA GAS GATHERING
Carrizo Oil & Gas, Inc.|CARRIZO OIL & GAS
Castleton Commodities International LLC|CASTLETON COMMODITIES INTERNATIONAL
Centennial Resource Production, LLC|CENTENNIAL RESOURCE PRODUCTION
CenterPoint Energy Resources CORPORATION|CENTERPOINT ENERGY RESOURCES
CenterPoint Energy Resources Corp|CENTERPOINT ENERGY RESOURCES
CenterPoint Energy Southeastern Pipeline Holdings, LLC|CENTERPOINT ENERGY RESOURCES
CenterPoint Energy Southeastern Pipelines Holdings, LLC|CENTERPOINT ENERGY RESOURCES
CenterPoint Energy Southeastern Piplines Holdings, LLC|CENTERPOINT ENERGY RESOURCES
Centerpoint Energy Resources Corp|CENTERPOINT ENERGY RESOURCES
Chevron Corporation|CHEVRON
Chevron Corportation|CHEVRON
Chevron Pipeline Company|CHEVRON
Chevron Services Co|CHEVRON
Chevron Services Co.|CHEVRON
Chevron Texaco Corporation|CHEVRON
Chevron U.S.A INCORPORATED|CHEVRON
Chief Oil & Gas LLC|CHIEF OIL & GAS
Chisholm Energy Operating LLC|CHISHOLM ENERGY OPERATING
Chroma Operating, Inc.|CHROMA OPERATING
