PARENT_COMPANY|STANDARD_COMPANY_NAME
Pennsylvania Land Resources Holding Company, LLC|PENNSYLVANIA LAND RESOURCES HOLDING COMPANY
Permian Basin Limited Partnership|PERMIAN BASIN
Permian Resources LLC|PERMIAN RESOURCES
Petro Harvester Oil & Gas, LLC|PETRO HARVESTER OIL & GAS
Philip T Sharples Trust|PHILIP T SHARPLES TRUST
Philip T. Sharples Trust|PHILIP T SHARPLES TRUST
Phillips 66|PHILLIPS 66
Phillips 66 Company|PHILLIPS 66
Phillips 66 Sweeny Frac LLC|PHILLIPS 66
Phillips66 Company|PHILLIPS 66
Pillsbury, Winthrop, Shaw, Pittman LLP|PILLSBURY, WINTHROP, SHAW, PITTMAN
Pintail Oil & Gas|PINTAIL OIL & GAS
Pioneer Natural Resources USA Inc|PIONEER NATURAL RESOURCES USA
Plains All American Pipeline, GP|PLAINS ALL AMERICAN GP
Plains All American Pipeline, LP|PLAINS ALL AMERICAN GP
Plains Exploration & Prod. / Pogo Producing Company|PLAINS EXPLORATION & PRODUCTION
Plains LPG Services|PLAINS LPG SERVICES
Plains Natural Gas Storage, LLC|PLAINS NATURAL GAS STORAGE
Port Barre Investments, LLC d/b/a Bobcat Gas Stora|PORT BARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA
Port Parre Investments, LLC d/b/a Bobcat Gas Stora|PORT PARRE INVESTMENTS, LLC D/B/A BOBCAT GAS STORA
Premier Natural Resources, LLC|PREMIER NATURAL RESOURCES
Primary Natural Resources III, LLC|PREMIER NATURAL RESOURCES
Primary Natural Resources IV, LLC|PREMIER NATURAL RESOURCES
Prime Operating Company|PRIME OPERATING
Pruet Production Company|PRUET PRODUCTION
QEP Field Services, LLC|QEP RESOURCES
QEP Midstream Partners, LP|QEP RESOURCES
QEP RESOURCES INC|QEP RESOURCES
QTL US TERMINAL LLC|QTL US TERMINAL
QUANTUM RESOURCES MANAGEMENT LLC|QUANTUM RESOURCES MANAGEMENT
QUANTUM RESOURCES MANAGEMENT, LLC|QUANTUM RESOURCES MANAGEMENT
QUANTUM RESOURCES MGT LLC|QUANTUM RESOURCES MANAGEMENT
QUESTAR CORP|QUESTAR
QUICKSILVER RESOURCES INC|QUICKSILVER RESOURCES
Quicksilver Resources Inc.|QUICKSILVER RESOURCES
Quicksilver Resources, Inc.|QUICKSILVER RESOURCES
RANGE RESOURCES CORP|RANGE RESOURCES
REGENCY ENERGY PARTNERS LP|REGENCY ENERGY PARTNERS
REGENCY MIDCONTINENT EXPRESS PIPELINE I LLC|REGENCY ENERGY PARTNERS
REGENCY MIDCONTINENT EXPRESS PIPELINE LLC|REGENCY ENERGY PARTNERS
REM|REM
REPSOL OIL & GAS USA LLC|REPSOL OIL & GAS USA
RESOLUTE ENERGY CORP|RESOLUTE ENERGY
RESOURCE ENERGY CAN-AM LLC|RESOURCE ENERGY
RESOURCE STRATEGIES|RESOURCE STRATEGIES
REX ENERGY OPERATING CORP|REX ENERGY OPERATING
RICE ENERGY INC|RICE ENERGY
RIM Operating, Inc|RIM OPERATING
RKI|RKI
RKI EXPLORATION & PRODUCTION LLC|RKI
RKI Exploration & Production LLC|RKI
ROBERTSON-FINLEY RESOURCES INC|ROBERTSON-FINLEY RESOURCES
ROCKCLIFF ENERGY II LLC|ROCKCLIFF ENERGY II
ROCKIES EXPRESS HOLDINGS LLC|ROCKIES EXPRESS HOLDINGS
ROCKPOINT GAS STORAGE PARTNERS LP|ROCKPOINT GAS STORAGE PARTNERS
ROSETTA RESOURCES OPERATING LP|ROSETTA RESOURCES OPERATING
ROSEWOOD RESOURCES INC|ROSEWOOD RESOURCES
ROSEWOOD RESOURCES, INC|ROSEWOOD RESOURCES
ROWDY PIPELINE LLC|ROWDY PIPELINE
RSP PERMIAN LLC|RSP PERMIAN
RSP Permian, LLC|RSP PERMIAN
RUDY RESOURCES LP|RUDY RESOURCES
Ranch Westex JV LLC|RANCH WESTEX JV
Range Resources - Appalachia, LLC & Range Resources - Pine Mountain, LLC|RANGE RESOURCES
Range Resources - Pine Mountain, LLC & Range Resources - Appalachia, LLC|RANGE RESOURCES
Range Texas Production, LLC|RANGE RESOURCES
Range Texas Production, LLC & Range Operating New Mexico, LLC|RANGE RESOURCES
Recoil Resources Operating, Inc|RECOIL RESOURCES OPERATING
Regency Midcontinent Express Pipeline, LLC|REGENCY ENERGY PARTNERS
Repsol Oil & Gas USA, LLC|REPSOL OIL & GAS USA
Resolute Energy Corporation|RESOLUTE ENERGY
Resolute Natural Resources Company|RESOLUTE ENERGY
Resource Energy Can-Am LLC|RESOURCE ENERGY
Rex Energy Operating Corporation|REX ENERGY OPERATING
Ricochet Energy, Inc.|RICOCHET ENERGY
Rise Energy Partners, LP|RISE ENERGY PARTNERS
Roan Resources LLC|ROAN RESOURCES
Rockall Energy LLC|ROCKALL ENERGY
Rockies Express Holdings, LLC|ROCKIES EXPRESS HOLDINGS
Rockpoint Gas Storage Partners LP|ROCKPOINT GAS STORAGE PARTNERS
Rosetta Resources Operating LP|ROSETTA RESOURCES OPERATING
Rowdy Pipeline LLC|ROWDY PIPELINE
S NATURAL GAS CO, LLC|S NATURAL GAS CO
S2 Energy Operating, LLC|S2 ENERGY OPERATING
SABINE OIL & GAS LLC|SABINE OIL AND GAS
SAGA PETROLEUM LLC|SAGA PETROLEUM
SAGE NATURAL RESOURCES LLC|SAGE NATURAL RESOURCES
SAGE NATURAL RESOURCES, LLC|SAGE NATURAL RESOURCES
SAMSON ENERGY CO LLC|SAMSON RESOURCES
SAMSON RESOURCES|SAMSON RESOURCES
SAMSON RESOURCES CORPORATION|SAMSON RESOURCES
SAMUEL GARY JR ASSOCIATES INC|SAMUEL GARY JR ASSOCIATES
SANCHEZ OIL & GAS|SANCHEZ OIL AND GAS
SANDRIDGE ENERGY INC|SANDRIDGE ENERGY
SANDRIDGE ENERGY OFFSHORE, LLC|SANDRIDGE ENERGY
SANDRIDGE ENERGY, INC|SANDRIDGE ENERGY
SANGUINE GAS EXPLORATION LLC|SANGUINE GAS EXPLORATION
SANGUINE GAS EXPLORATION, LLC|SANGUINE GAS EXPLORATION
SAVANT ALASKA LLC|SAVANT ALASKA
SBM OFFSHORE|SBM OFFSHORE
SBM Offshore|SBM OFFSHORE
SCANA CORP|SCANA
SCOUT ENERGY MANAGEMENT LLC|SCOUT ENERGY MANAGEMENT
SEMGAS LP|SEMGAS
SEMPRA ENERGY|SEMPRA ENERGY
SEMPRA ENERGY INC|SEMPRA ENERGY
SENECA RESOURCES CORP|SENECA RESOURCES
SENTINEL PEAK RESOURCES|SENTINEL PEAK RESOURCES
SEQUITUR EAST TEXAS LLC|SEQUITUR EAST TEXAS
SHD OIL & GAS LLC|SHD OIL & GAS
SHELL OIL CO|SHELL OIL
SHERIDAN PRODUCTION CO LLC|SHERIDAN PRODUCTION COMAPNY
SHORELINE ENERGY LLC|SHORELINE ENERGY
SIGNAL HILL PETROLEUM INC|SIGNAL HILL PETROLEUM
SILVER CREEK OIL & GAS LLC|SILVER CREEK OIL & GAS
SILVERBACK MIDSTREAM LLC|SILVERBACK MIDSTREAM
SK E&P|SK E&P
SK Nemaha, LLC|SK NEMAHA
SK PLYMOUTH LLC|SK PLYMOUTH
SLAWSON COMPANIES INC|SLAWSON COMPANIES
SM ENERGY CO|SM ENERGY
SM Energy|SM ENERGY
SM Energy Company|SM ENERGY
SN EF MAVERICK LLC|SN EF MAVERICK
SOUTHCROSS ENERGY|SOUTHCROSS ENERGY
SOUTHCROSS GATHERING, LTD|SOUTHCROSS ENERGY
SOUTHERN CO GAS|SOUTHERN CO GAS
SOUTHERN NATURAL GAS CO, LLC|SOUTHERN NATURAL GAS CO
SOUTHERN UTE INDIAN TRIBE|SOUTHERN UTE INDIAN TRIBE
SOUTHLAND ROYALTY CO|SOUTHLAND ROYALTY
SOUTHWEST GAS STORAGE|SOUTHWEST GAS STORAGE
SOUTHWESTERN ENERGY CO|SOUTHWESTERN ENERGY
SPECTRA ENERGY|SPECTRA ENERGY
SPECTRA ENERGY CORP|SPECTRA ENERGY
SRC ENERGY INC|SRC ENERGY
STANOLIND PRODUCTION LLC|STANOLIND PRODUCTION
STARTEX FIELD SERVICES LLC|STARTEX FIELD SERVICES
STATOIL GULF OF MEXICO LLC|STATOIL
STATOIL TEXAS ONSHORE PROPERTIES, LLC|STATOIL
STATOIL US HOLDINGS INC|STATOIL
STEPHENS PRODUCTION CO|STEPHENS PRODUCTION
STERLING ENERGY GROUP INC|STERLING ENERGY GROUP
STINGRAY PIPELINE CO LLC|STINGRAY PIPELINE CO
STINGRAY PIPELINE CO, LLC|STINGRAY PIPELINE CO
STONE ENERGY CORP|STONE ENERGY
STONE ENERGY CORPORATION|STONE ENERGY
SUMMIT MIDSTREAM PARTNERS LLC|SUMMIT MIDSTREAM PARTNERS
SUMMIT MIDSTREAM PARTNERS, LLC|SUMMIT MIDSTREAM PARTNERS
SUMMIT PETROLEUM CORP|SUMMIT PETROLEUM
SUMMIT PETROLEUM LLC|SUMMIT PETROLEUM
SUNDANCE ENERGY INC|SUNDANCE ENERGY
SURGE OPERATING LLC|SURGE OPERATING
SWEPI LP|SWEPI
SWG Pipeline, LLC|SWG PIPELINE
SWIFT ENERGY OPERATING LLC|SWIFT ENERGY OPERATING
SWIFT ENERGY OPERATING, LLC|SWIFT ENERGY OPERATING
SYNERGY RESOURCES CORP|SYNERGY RESOURCES
Sabine Oil & Gas LLC|SABINE OIL AND GAS
Sabine Oil and Gas Corporation|SABINE OIL AND GAS
Saga Petroleum, LLC|SAGA PETROLEUM
Samson Energy Company, LLC|SAMSON RESOURCES
Samuel Gary Jr. Associates, Inc.|SAMUEL GARY JR. ASSOCIATES
Sanchez Oil and Gas|SANCHEZ OIL AND GAS
SandRidge Exploration and Production, LLC|SANDRIDGE ENERGY
SandRidge Production and Exploration, LLC|SANDRIDGE ENERGY
Sanguine Gas Exploration, LLC|SANGUINE GAS EXPLORATION
Savant Alaska, LLC|SAVANT ALASKA
SemGas, LP|SEMGAS
Sempra Energy|SEMPRA ENERGY
Sempra REX Holdings, LLC|SEMPRA ENERGY
Seneca Resources Corporation|SENECA RESOURCES
Sentinel Peak Resources|SENTINEL PEAK RESOURCES
Sequitur East Texas LLC|SEQUITUR EAST TEXAS
Sharples Associates|SHARPLES ASSOCIATES
Shell Oil Company|SHELL OIL
Shell Petroleum INCORPORATED|SHELL OIL
Shell Petroleum Inc|SHELL OIL
Shell Petroleum Inc.|SHELL OIL
Sheridan Production Comapny, LLC|SHERIDAN PRODUCTION COMAPNY
Sheridan Production Company, LLC|SHERIDAN PRODUCTION COMPANY
Shoreline Energy LLC|SHORELINE ENERGY
Silverback Midstream, LLC|SILVERBACK MIDSTREAM
Silverbow Resources Inc|SILVERBOW RESOURCES
Slawson Companies, Inc.|SLAWSON COMPANIES
Southcross Gathering, Ltd|SOUTHCROSS ENERGY
Southcross Processing LLC|SOUTHCROSS ENERGY
Southern Union Gas Services|SOUTHERN UNION GAS SERVICES
Southern Ute Indian Tribe|SOUTHERN UTE INDIAN TRIBE
Southwestern Energy|SOUTHWESTERN ENERGY
Southwestern Production CORP|SOUTHWESTERN PRODUCTION
Spectra Energy|SPECTRA ENERGY
Spectra Energy Corp|SPECTRA ENERGY
Spectra Energy Corporation|SPECTRA ENERGY
Spectra Energy Partners, LP|SPECTRA ENERGY
Spectra Energy Southeast Supply Header, LLC|SPECTRA ENERGY
StarTex Field Services, LLC|STARTEX FIELD SERVICES
Statoil|STATOIL
Statoil Gulf of Mexico LLC|STATOIL
Statoil US Holdings, Inc.|STATOIL
Statoil USA E&P Inc.|STATOIL
Stephens Production Company|STEPHENS PRODUCTION
Sterling Energy Investments LLC|STERLING ENERGY GROUP
Stone Energy Corporation|STONE ENERGY
Summit Petroleum Corporation|SUMMIT PETROLEUM
Sundance Energy Australia|SUNDANCE ENERGY
Superior Pipeline Company|SUPERIOR PIPELINE
Superior Pipeline Company, LLC.|SUPERIOR PIPELINE
Superiror Pipeline Company, LLC|SUPERIOR PIPELINE
Synergy Resources CORP|SYNERGY RESOURCES
T-C Oil Company|T-C OIL
TALCO MIDSTREAM ASSETS, LTD|TALCO MIDSTREAM ASSETS
TALISMAN ENERGY USA INC|TALISMAN ENERGY USA
TALL OAK MIDSTREAM LLC|TALL OAK MIDSTREAM
TALLGRASS OPERATIONS LLC|TALLGRASS ENERGY
TALOS ENERGY LLC|TALOS ENERGY
TALOS ENERGY OFFSHORE LLC|TALOS ENERGY
TANA EXPLORATION CO LLC|TANA EXPLORATION CO
TANOS EXPLORATION II LLC|TANOS EXPLORATION II
TAPSTONE ENERGY LLC|TAPSTONE ENERGY
TAQA NORTH LTD|TAQA USA
TAQA North Ltd.|TAQA USA
TAQA USA INC|TAQA USA
TARGA PIPELINE PARTNERS, LP|TARGA RESOURCES
TARGA RESOURCES|TARGA RESOURCES
TARGA RESOURCES CORPORATION|TARGA RESOURCES
TARGA RESOURCES Corporation|TARGA RESOURCES
TARGA RESOURCES INC|TARGA RESOURCES
TC PIPELINES LP|TC PIPELINES
TECOLOTE ENERGY LLC|TECOLOTE ENERGY
TECPETROL CORP|TECPETROL
TELLUS ENERGY GROUP LLC|TELLUS ENERGY GROUP
TEMPLAR ENERGY LLC|TEMPLAR ENERGY
TENAWA HAVEN PROCESSING LLC|TENAWA HAVEN PROCESSING
TENAWA RESOURCE MANAGEMENT LLC|TENAWA RESOURCE MANAGEMENT
TENRGYS LLC|TENRGYS
TEP REX Holdings, LLC|TEP REX HOLDINGS
TEP Rex Holdings, LLC|TEP REX HOLDINGS
TEP Rocky Mountain LLC|TEP ROCKY MOUNTAIN
TERRA ENERGY PARTNERS|TERRA ENERGY PARTNERS
TESORO CORP|TESORO
TEX MONCRIEF EXPLORACOUNT II LLC|TEX MONCRIEF EXPLORACOUNT II
TEXAS AMERICAN RESOURCES CO|TEXAS AMERICAN RESOURCES
TEXAS KEYSTONE INC|TEXAS KEYSTONE
TEXAS PETROLEUM INVESTMENT CO|TEXAS PETROLEUM INVESTMENT
TEXLAND PETROLEUM LP|TEXLAND PETROLEUM
TGGT HOLDINGS, LLC|TGGT HOLDINGS
THE DOW CHEMICAL CO|DOW CHEMICAL
THE SINCLAIR COS|THE SINCLAIR COS
THE WILLIAMS COS|WILLIAMS
THUNDER CREEK GAS SERVICES LLC|THUNDER CREEK GAS SERVICES
TIMBER CREEK OPERATING LLC|TIMBER CREEK OPERATING
TIMBER CREEK OPERATING, LLC|TIMBER CREEK OPERATING
TOMPC LLC|TOMPC
TOTAL E&P USA INC|TOTAL E&P USA
TOTAL E&P USA, INC.|TOTAL E&P USA
TRANSCANADA ENERGY USA INC|TRANSCANADA ENERGY USA
TRC CYPRESS GROUP|TRC CYPRESS GROUP
TRENDWELL ENERGY CORP|TRENDWELL ENERGY
TRIANGLE USA PETROLEUM CORP|TRIANGLE USA PETROLEUM
TRISTREAM ENERGY, LLC|TRISTREAM ENERGY
TRUE OIL LLC|TRUE OIL
TRUNKLINE GAS CO|TRUNKLINE GAS
Tallgrass MLP Operations, LLC|TALLGRASS ENERGY
Tallgrass MLP operations, LLC|TALLGRASS ENERGY
Tallgrass Operations, LLC|TALLGRASS ENERGY
Tapstone Energy LLC|TAPSTONE ENERGY
Targa Midstream Services, L.P.|TARGA RESOURCES
Targa Resources Corporation|TARGA RESOURCES
Tecolote Energy LLC|TECOLOTE ENERGY
Tecpetrol Corporation|TECPETROL
Tellus Energy Group, LLC|TELLUS ENERGY GROUP
Templar Energy LLC|TEMPLAR ENERGY
Tenawa Haven Processing LLC|TENAWA HAVEN PROCESSING
Tesoro Logistics LP|TESORO
Texas Coastal Ventures LLC|TEXAS COASTAL VENTURES
Texas Eastern Transmission, L.P.|TEXAS EASTERN TRANSMISSION
Texas Keystone Inc|TEXAS KEYSTONE
Texas Petroleum Investment CO|TEXAS PETROLEUM INVESTMENT
Texas Petroleum Investment Co|TEXAS PETROLEUM INVESTMENT
Texland Petroleum, LP|TEXLAND PETROLEUM
Texstar Midstream Services, LP|TEXSTAR MIDSTREAM SERVICES
The Williams Companies, Inc.|WILLIAMS
Thunder Creek Gas Services, LLC|THUNDER CREEK GAS SERVICES
TransCanada American Investments Ltd.|TRANSCANADA AMERICAN INVESTMENTS
TransCanada Northern Border INC|TRANSCANADA NORTHERN BORDER
TransCanada Northern Border Inc.|TRANSCANADA NORTHERN BORDER
TransCanada/Columbia PIpeline Group|TRANSCANADA/COLUMBIA PIPELINE GROUP
TransCanada/Columbia Pipeline Group|TRANSCANADA/COLUMBIA PIPELINE GROUP
TransCanda/Columbia Pipeline Group|TRANSCANDA/COLUMBIA PIPELINE GROUP
Trendwell Energy Corporation|TRENDWELL ENERGY
Trey Resources, Inc.|TREY RESOURCES
Trey Resources, inc.|TREY RESOURCES
Triangle USA Petroleum Corporation|TRIANGLE USA PETROLEUM
Trinity CO2, LLC|TRINITY CO2
Triumph Energy Partners|TRIUMPH ENERGY PARTNERS
Trunkline LNG Co|TRUNKLINE LNG
ULTRA PETROLEUM ENERGY CORP|ULTRA PETROLEUM ENERGY
UNION EXPLORATION PARTNERS LTD|UNION EXPLORATION PARTNERS
UNIT CORP|UNIT
UNIT PETROLEUM CO|UNIT PETROLEUM
URBAN OIL & GAS GROUP LLC|URBAN OIL & GAS GROUP
URBAN OIL & GAS GROUP, LLC|URBAN OIL & GAS GROUP
URSA RESOURCES GROUP|URSA RESOURCES GROUP
URSA Resources Group|URSA RESOURCES GROUP
UTICA GAS SERVICES LLC|UTICA GAS SERVICES
Ultra Petroleum Energy Corporation|ULTRA PETROLEUM ENERGY
Union Exploration Partners Ltd.|UNION EXPLORATION PARTNERS
Unit Corp|UNIT
Unit Petroleum Company|UNIT PETROLEUM
Utah Gas CORP|UTAH GAS
VAL VERDE GAS GATHERING CO LP|VAL VERDE GAS GATHERING CO
VALENCE OPERATING CO|VALENCE OPERATING
VANGUARD NATURAL RESOURCES INC|VANGUARD NATURAL RESOURCES
VANTAGE ENERGY LLC|VANTAGE ENERGY
VAQUERO PERMIAN GATHERING LLC|VAQUERO PERMIAN GATHERING
VECTOR PIPELINE LP|VECTOR PIPELINE
VECTOR PIPELINE, LP|VECTOR PIPELINE
VENOCO INC|VENOCO
VERDUN OIL CO|VERDUN OIL
VERESEN INC|VERESEN
VERESEN US POWER INC|VERESEN
VINE OIL & GAS LP|VINE OIL & GAS
VITRUVIAN EXPLORATION LLC|VITRUVIAN EXPLORATION
Valence Operating Company|VALENCE OPERATING
Vanguard Natural Resources, INCORPORATED|VANGUARD NATURAL RESOURCES
Vanguard Natural Resources, Inc.|VANGUARD NATURAL RESOURCES
Vanguard Natural Resources, LLC|VANGUARD NATURAL RESOURCES
Vanguard Operating, LLC|VANGUARD NATURAL RESOURCES
Vantage Energy II, LLC|VANTAGE ENERGY
Vantage Energy, LLC|VANTAGE ENERGY
Vaquero Permian Gathering LLC|VAQUERO PERMIAN GATHERING
Vaquero Permian Processing LLC|VAQUERO PERMIAN PROCESSING
Venado Operating CO LLC|VENADO OPERATING CO
Venoco Inc.|VENOCO
Verdad Resources LLC|VERDAD RESOURCES
Verdun Oil Co|VERDUN OIL
Vine Oil & Gas, LP|VINE OIL & GAS
Vitruvian Exploration, LLC|VITRUVIAN EXPLORATION
W & T OFFSHORE INC|W & T OFFSHORE
W & T Offshore, Inc.|W & T OFFSHORE
W&T ENERGY VI LLC|W & T OFFSHORE
W&T ENERGY VI, LLC|W & T OFFSHORE
W&T Energy VI, LLC|W & T OFFSHORE
W&T OFFSHORE INC|W & T OFFSHORE
W&T Offshore, INCORPORATED|W & T OFFSHORE
W&T Offshore, Inc.|W & T OFFSHORE
W. A. Moncrief, Jr.|WA MONCRIEF JR
WA MONCRIEF JR|WA MONCRIEF JR
WALTER OIL & GAS CORP|WALTER OIL & GAS
WARD PETROLEUM CORP|WARD PETROLEUM
WARREN RESOURCES INC|WARREN RESOURCES
WEC ENERGY GROUP|WEC ENERGY GROUP
WELLS FARGO ENERGY CAPITAL INC|WELLS FARGO ENERGY CAPITAL
WEST BAY EXPLORATION|WEST BAY EXPLORATION
WEST TEXAS GAS INC|WEST TEXAS GAS
WESTERN REFINING INC|WESTERN REFINING
WGR Asset Holding Company LLC|WGR OPERATING
WGR Operating LP|WGR OPERATING
WHITE OAK ENERGY|WHITE OAK ENERGY
WHITE ROCK OIL & GAS LLC|WHITE ROCK OIL & GAS
WHITE STAR PETROLEUM LLC|WHITE STAR PETROLEUM
WHITING OIL & GAS CORP|WHITING OIL AND GAS
WHITING OIL AND GAS CORP|WHITING OIL AND GAS
WHITING PETROLEUM CORP|WHITING OIL AND GAS
WILDCAT MIDSTREAM CADDO LLC|WILDCAT MIDSTREAM CADDO
WILDHORSE RESOURCES LLC|WILDHORSE RESOURCES
WILLIAMS PARTNERS LP|WILLIAMS
WILLIAMS PARTNERS, LP|WILLIAMS
WINFIELD RESOURCES LLC|WINFIELD RESOURCES
WOLD ENERGY PARTNERS LLC|WOLD ENERGY PARTNERS
WOODFORD EXPRESS LLC|WOODFORD EXPRESS
WPX ENERGY INC|WPX ENERGY
WPX Energy, Inc.|WPX ENERGY
WTG BENEDUM JOINT VENTURE|WTG
WTG EXPLORATION, INC|WTG
WTG GAS PROCESSING LP|WTG
WTG GAS PROCESSING, LP|WTG
WTG Gas Processing LP|WTG
WTG Gas Processing, LP|WTG
WTG JAMESON LP|WTG
WTG Jameson, L.P.|WTG
WTG Jameson, LP|WTG
WTG SONORA GAS PLANT, LLC|WTG
WTG SOUTH PERMIAN MIDSTREAM LLC|WTG
WTG South Permian Midstream LLC|WTG
WTGKS GP LLC|WTGKS GP
Warren Resources, Inc.|WARREN RESOURCES
Wells Fargo Energy Capital, Inc|WELLS FARGO ENERGY CAPITAL
West Bay Exploration|WEST BAY EXPLORATION
White Oak Energy|WHITE OAK ENERGY
White Rock Oil & Gas LLC|WHITE ROCK OIL & GAS
White Star Petroleum, LLC|WHITE STAR PETROLEUM
Whiting Petroleum Corporation|WHITING OIL AND GAS
Wildcat Midstream Caddo, LLC|WILDCAT MIDSTREAM CADDO
Wildhorse Resouces LLC|WILDHORSE RESOUCES
Wildhorse Resouces, LLC|WILDHORSE RESOUCES
Williams|WILLIAMS
Williams Co.|WILLIAMS
Williams Field Services Group, LLC|WILLIAMS
Williams Partners L.P.|WILLIAMS
Williams Partners, LP|WILLIAMS
Williams Production|WILLIAMS
Winfield Resources, LLC|WINFIELD RESOURCES
XTO ENERGY INC|XTO ENERGY
XTO ENERGY, INC|XTO ENERGY
XTO Energy Inc|XTO ENERGY
YATES PETROLEUM CORP|YATES PETROLEUM
Yates Petroleum Corporation|YATES PETROLEUM
ZPZ DELAWARE I LLC|ZPZ DELAWARE I
ZPZ Delaware I LLC|ZPZ DELAWARE I
Zenergy, INC|ZENERGY
cOLUMBIA PIPELINE GROUP|COLUMBIA PIPELINE GROUP
eni US Operating Company|ENI PETROLEUM
exxon mobil corporation|EXXONMOBIL
loe|LOE
pipeco|PIPECO
