PEMBROKE FIELDS,nan
PENN VIRGINIA OIL & GAS,nan
PEREGRINE PETROLEUM PARTNERS,nan
PETRO HARVESTER OPERATING COMPANY,nan
PETRO UNO RESOURCES LTD-NORTH DAKOTA,nan
PETRO-HUNT DAKOTA,nan
PETRO-HUNT,PETRO-HUNT
PETROGULF,nan
PETROSEARCH OPERATING COMPANY,nan
PETROSHALE (US,nan
PHILLIP D. ARMSTRONG,nan
PHILLIPS PETROLEUM,nan
PINTAIL PETROLEUM,nan
POGO PRODUCING COMPANY,nan
PPJV,nan
PRAIRIE DISPOSAL,nan
PRAIRIE HILLS OIL AND GAS,nan
PRAIRIE PRODUCTION,nan
"PRIDE ENERGY, AN OKLAHOMA GENERAL PARTNERSHIP",nan
PRIMA EXPLORATION,nan
PROSPECTIVE INVESTMENT & TRADING CO,nan
PROVEN PETROLEUM,nan
"PROWATER, LLC",nan
PARSHALL SWD,nan
PHOENIX PETROLEUM,nan
QC ENVIRONMENTAL SERVICES,nan
QEP ENERGY,nan
QUESTAR EXPLORATION & PRODUCTION,nan
R360 WILLISTON BASIN,nan
RAMPART ENERGY,nan
RANCH OIL,nan
RC DISPOSAL,nan
RDT PROPERTIES,nan
RED WILLOW GREAT PLAINS,nan
REMUDA ENERGY DEVELOPMENT,nan
RENEGADE PETROLEUM (NORTH DAKOTA,nan
RESOLUTE NATURAL RESOURCES COMPANY,nan
RESONANCE EXPLORATION (NORTH DAKOTA,nan
RESOURCE DRILLING,nan
RESOURCE ENERGY CAN-AM,RESOURCE ENERGY
RIGEL,nan
RIM OPERATING,RIM OPERATING
RIMROCK OIL & GAS WILLISTON,nan
RITCHIE EXPLORATION,nan
"RITTER, LABER & ASSOCIATES",nan
RM RESOURCES,nan
ROCANVILLE,nan
ROLLING HILLS OIL & GAS,nan
RONALD M. SANNES,nan
ROUGHRIDER OIL,nan
RYAN EXPLORATION,nan
SAGEBRUSH RESOURCES,nan
SAKAKAWEA VENTURES,nan
SALTWATER DISPOSAL OF NORTH DAKOTA,nan
SAMEDAN OIL,nan
SAMSON OIL AND GAS USA,nan
SAMSON RESOURCES,SAMSON RESOURCES
SAMUEL GARY JR. & ASSOCIATES,nan
SBG 1804 FACILITY,nan
SBG ARNEGARD FACILITY,nan
SBG ENERGY SERVICES,nan
SBG GRASSY BUTTE,nan
SBG GREEN RIVER FACILITY,nan
SBG MANNING FACILITY,nan
SBG TIOGA FACILITY,nan
SCOUT ENERGY MANAGEMENT,SCOUT ENERGY MANAGEMENT
SECURE ENERGY SERVICES USA,nan
SEDALIA ENERGY,nan
SEQUEL ENERGY,nan
SHD OIL & GAS,SHD OIL & GAS
"SIANA OIL & GAS., L.L.C",nan
SILVER OAK ENERGY,nan
SILVER THREAD OIL & GAS,nan
SIMRAY GP,nan
SINCLAIR OIL & GAS,nan
SINCLAIR OIL AND GAS,nan
SLAWSON EXPLORATION COMPANY,nan
SM ENERGY,SM ENERGY
SOLUTIONS ENERGY,nan
SOUTH HEART,nan
SOUTHWESTERN PRODUCTION,SOUTHWESTERN PRODUCTION
"SPECIALIZED TECHNOLOGICAL THREADING, INC",nan
ST MARY LAND & EXPLORATION,nan
ST OIL,nan
STATOIL OIL & GAS,nan
STATOIL PIPELINES,nan
STEPHENS & JOHNSON OPERATING,nan
STEPHENS ENERGY COMPANY,nan
STETSON OIL & GAS,nan
STRIKE OIL,nan
SUMMIT RESOURCES,nan
SUNDANCE ENERGY,SUNDANCE ENERGY
SURGE ENERGY USA,nan
SWANSON OILFIELD SERVICES,nan
SWD #1,nan
STATE SUMMARY REPORT MAY 2012,nan
STATE SUMMARY REPORT MAY 2013,nan
T-BOC,nan
TAQA NORTH USA,nan
TAQA USA,TAQA USA
TD SERVICES,nan
TERVITA,nan
TEXACO EXPLORATION & PRODUCTION,nan
TEXAKOTA,nan
TEXAS CRUDE ENERGY,nan
THE 85 DISPOSAL,nan
THE EXPLORATION,nan
THE MANDAREE PROJECT,nan
THE TRIPLE T,nan
THUNDERBIRD RESOURCES,nan
THURSTON ENERGY INVESTMENTS 2,nan
TIMBERLINE PRODUCTION COMPANY,nan
TITAN ENERGY,nan
TOBACCO GARDEN SWD,nan
TOP OPERATING,nan
TRACKER RESOURCE DEVELOPMENT II,nan
TRACKER RESOURCE DEVELOPMENT III,nan
TREK RESOURCES,nan
TRENDWELL ENERGY,TRENDWELL ENERGY
TRI-C RESOURCES,nan
TRIANGLE USA PETROLEUM,TRIANGLE USA PETROLEUM
TRUE OIL,TRUE OIL
ULMER ENERGY,nan
UPTON RESOURCES U.S.A,nan
URAN SWD,nan
URSA RESOURCES GROUP,URSA RESOURCES GROUP
VANGUARD OPERATING,VANGUARD NATURAL RESOURCES
VAST OPERATIONS,nan
VECTA OIL & GAS,nan
VERSA OPERATING,nan
VICKERS & VICKERS,nan
W. W. WICKLUND,nan
WAPITI OPERATING,nan
WARD-WILLISTON,nan
WARREN PETROLEUM,nan
WATERWORKS CARTWRIGHT,nan
WATERWORKS CORRAL CREEK,nan
WATERWORKS EAST FORK,nan
WATERWORKS JOHNSON CORNERS,nan
WATERWORKS KILLDEER,nan
WESCO OPERATING,nan
WESTERN GAS PROCESSORS,nan
WHITE BUTTE OIL OPERATIONS,nan
WHITE OWL ENERGY SERVICES (US,nan
WHITE OWL ENERGY SERVICES,nan
WHITE ROCK OIL & GAS,WHITE ROCK OIL & GAS
WHITING OIL AND GAS,WHITING OIL AND GAS
WILLISTON EXPLORATION,nan
WILLISTON HUNTER ND,nan
WILLISTON INDUSTRIAL SUPPLY,nan
WIND RIVER TRUCKING,nan
WINDRIDGE OPERATING,nan
WINDRIVER TRUCKING,nan
WINDSOR DAKOTA,nan
WINDSOR ENERGY GROUP,nan
WISCO,nan
WPX ENERGY WILLISTON,WPX ENERGY
WW OILFIELD SERVICES,nan
XCL RESOURCES,nan
XTO ENERGY,XTO ENERGY
ZARGON OIL (ND,nan
ZAVANNA,nan
ZENERGY OPERATING COMPANY,nan
ZENERGY,ZENERGY
ZENITH PRODUCED WATER - BERG,nan
ZENITH PRODUCED WATER-JOHNSON,nan
ZINKE & TRUMBO,nan
